name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp19,4.82654,0,4.82654,4.82654,4.82654,4.82654,43.5572,50.4488,4.94323,243.369,-6.89168,94.006,0.116693
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp2,4.73613,0,4.73613,4.73613,4.73613,4.73613,42.7531,49.7416,4.82502,247.387,-6.9885,92.4946,0.0888855
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp20,4.77492,0,4.77492,4.77492,4.77492,4.77492,43.1184,50.2268,4.86457,249.522,-7.1084,93.3453,0.0896576
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp21,4.83287,0,4.83287,4.83287,4.83287,4.83287,43.6188,50.5404,4.95065,243.525,-6.92156,94.1592,0.117773
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp22,4.78126,0,4.78126,4.78126,4.78126,4.78126,43.178,50.3042,4.87091,249.865,-7.12627,93.4822,0.0896494
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp23,4.83992,8.97196e-16,4.83992,4.83992,4.83992,4.83992,43.6866,50.6388,4.95876,243.69,-6.95216,94.3254,0.118839
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp24,4.78807,8.97196e-16,4.78807,4.78807,4.78807,4.78807,43.2416,50.3864,4.87766,250.232,-7.14484,93.6281,0.0895918
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp25,4.84783,8.97196e-16,4.84783,4.84783,4.84783,4.84783,43.7612,50.7441,4.96769,243.865,-6.98291,94.5053,0.119863
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp26,4.79534,8.97196e-16,4.79534,4.79534,4.79534,4.79534,43.3095,50.4735,4.88481,250.625,-7.16403,93.783,0.089473
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp27,4.85678,0,4.85678,4.85678,4.85678,4.85678,43.8438,50.8568,4.97759,244.049,-7.01302,94.7006,0.120808
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp28,4.80311,8.97196e-16,4.80311,4.80311,4.80311,4.80311,43.3817,50.5655,4.89239,251.045,-7.18377,93.9473,0.0892826
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp29,4.8671,0,4.8671,4.8671,4.8671,4.8671,43.9359,50.9772,4.98872,244.243,-7.04128,94.9131,0.121622
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp3,4.79346,8.97196e-16,4.79346,4.79346,4.79346,4.79346,43.2293,49.9438,4.90308,242.461,-6.71452,93.1731,0.109618
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp30,4.81139,8.97196e-16,4.81139,4.81139,4.81139,4.81139,43.4585,50.6625,4.9004,251.494,-7.20395,94.121,0.0890111
