obsnme,obsval,weight,obsgp
h_p1_cp86,79.02083308063307,1.0,head
h_p1_cp87,81.32512740520761,1.0,head
h_p1_cp88,79.01794739490627,1.0,head
h_p1_cp89,81.3904024442474,1.0,head
h_p1_cp90,79.01481217769614,1.0,head
h_p1_cp91,81.46736829110492,1.0,head
h_p1_cp92,79.0113940385028,1.0,head
h_p1_cp93,81.55961770142159,1.0,head
h_p1_cp94,79.00765818339408,1.0,head
h_p1_cp95,81.67283174472317,1.0,head
h_p1_cp96,79.00358304503818,1.0,head
h_p1_cp97,81.81607824864558,1.0,head
h_p1_cp98,78.99915700448756,1.0,head
h_p1_cp99,82.00274304251653,1.0,head
h_p1_cp100,78.99438339804708,1.0,head
h_p1_cp101,82.24336769310978,1.0,head
h_p1_cp102,78.98928200512842,1.0,head
h_p1_cp103,82.48142444809294,1.0,head
h_p1_cp104,78.98387999133413,1.0,head
h_p1_cp105,82.18843734583862,1.0,head
h_p1_cp106,78.97818389859606,1.0,head
h_p1_cp107,81.89293959350309,1.0,head
h_p1_cp108,78.97217020880092,1.0,head
h_p1_cp109,81.6515021834233,1.0,head
h_p1_cp110,78.96580198716867,1.0,head
h_p1_cp111,81.45364281974466,1.0,head
h_p1_cp112,78.9590522709075,1.0,head
h_p1_cp113,81.28604964372624,1.0,head
h_p1_cp114,78.9519413813886,1.0,head
h_p1_cp115,81.1397460256514,1.0,head
h_p1_cp116,78.94456459620896,1.0,head
h_p1_cp117,81.0091528012708,1.0,head
h_p1_cp118,78.93706426397512,1.0,head
h_p1_cp119,80.89076043851034,1.0,head
h_p1_cp120,78.92959135024688,1.0,head
h_p1_cp121,80.78227302713933,1.0,head
h_p1_cp122,78.92227837003178,1.0,head
h_p1_cp123,80.68209949805271,1.0,head
h_p1_cp124,78.91521400636303,1.0,head
h_p1_cp125,80.58905877014186,1.0,head
h_p1_cp126,78.90838758508447,1.0,head
h_p1_cp127,80.50222081941894,1.0,head
h_p1_cp128,78.9015552284419,1.0,head
h_p1_cp129,80.42081702182335,1.0,head
h_p1_cp130,78.8939832306178,1.0,head
h_p1_cp131,80.34422699698774,1.0,head
h_p1_cp132,78.88418387565133,1.0,head
h_p1_cp133,80.27201863321113,1.0,head
h_p1_cp134,78.8705051653798,1.0,head
h_p1_cp135,80.20397727947912,1.0,head
h_p1_cp136,78.85476920446021,1.0,head
h_p1_cp137,80.140043618992,1.0,head
h_p1_cp138,78.83862477624524,1.0,head
h_p1_cp139,80.08021271500806,1.0,head
h_p1_cp140,78.82295405410169,1.0,head
h_p1_cp141,80.0244976863353,1.0,head
h_p1_cp142,78.80813934088933,1.0,head
h_p1_cp143,79.9728725241479,1.0,head
h_p1_cp144,78.79432781667629,1.0,head
h_p1_cp145,79.92532382690831,1.0,head
h_p1_cp146,78.78157698014081,1.0,head
h_p1_cp147,79.88178529045277,1.0,head
h_p1_cp148,78.76991986983067,1.0,head
h_p1_cp149,79.84220956678357,1.0,head
h_p1_cp150,78.75938832178639,1.0,head
h_p1_cp151,79.80660900719843,1.0,head
h_p1_cp152,78.7500160210576,1.0,head
