iteration,num_reals,current_lambda,current_comp_mean_phi,current_comp_std_phi,lambda_scale_fac,lambda,comp_mean_phi,comp_std_phi
4,5,42187.5,1.7308e+07,2.23634e+07,1.1,421875,2.0418e+07,3.71928e+07
5,5,316406,1.66866e+07,2.11052e+07,0.75,31640.6,2.71551e+07,1.85738e+07
5,5,316406,1.66866e+07,2.11052e+07,1,31640.6,2.47929e+07,1.70435e+07
5,5,316406,1.66866e+07,2.11052e+07,1.1,31640.6,2.31209e+07,1.72499e+07
5,5,316406,1.66866e+07,2.11052e+07,0.75,316406,1.89801e+07,1.90476e+07
5,5,316406,1.66866e+07,2.11052e+07,1,316406,1.75772e+07,1.43688e+07
5,5,316406,1.66866e+07,2.11052e+07,1.1,316406,1.67318e+07,1.41693e+07
5,5,316406,1.66866e+07,2.11052e+07,0.75,3.16406e+06,1.53564e+07,2.37563e+07
5,5,316406,1.66866e+07,2.11052e+07,1,3.16406e+06,1.21552e+07,1.72676e+07
5,5,316406,1.66866e+07,2.11052e+07,1.1,3.16406e+06,1.08779e+07,1.44206e+07
6,5,2.37305e+06,9.04297e+06,1.25308e+07,0.75,237305,8.33856e+06,1.13498e+07
6,5,2.37305e+06,9.04297e+06,1.25308e+07,1,237305,7.57551e+06,9.42291e+06
6,5,2.37305e+06,9.04297e+06,1.25308e+07,1.1,237305,7.22895e+06,8.56758e+06
6,5,2.37305e+06,9.04297e+06,1.25308e+07,0.75,2.37305e+06,8.97954e+06,1.24044e+07
6,5,2.37305e+06,9.04297e+06,1.25308e+07,1,2.37305e+06,8.41367e+06,1.1412e+07
6,5,2.37305e+06,9.04297e+06,1.25308e+07,1.1,2.37305e+06,8.16564e+06,1.09776e+07
6,5,2.37305e+06,9.04297e+06,1.25308e+07,0.75,2.37305e+07,9.95871e+06,1.40493e+07
6,5,2.37305e+06,9.04297e+06,1.25308e+07,1,2.37305e+07,9.86664e+06,1.38652e+07
6,5,2.37305e+06,9.04297e+06,1.25308e+07,1.1,2.37305e+07,9.8281e+06,1.37886e+07
7,5,177979,7.16726e+06,1.00338e+07,0.75,17797.9,2.50117e+07,1.41558e+07
7,5,177979,7.16726e+06,1.00338e+07,1,17797.9,2.4035e+07,1.62024e+07
7,5,177979,7.16726e+06,1.00338e+07,1.1,17797.9,2.32238e+07,1.70461e+07
7,5,177979,7.16726e+06,1.00338e+07,0.75,177979,2.16312e+07,1.16984e+07
7,5,177979,7.16726e+06,1.00338e+07,1,177979,2.17432e+07,1.19425e+07
7,5,177979,7.16726e+06,1.00338e+07,1.1,177979,2.16488e+07,1.23535e+07
7,5,177979,7.16726e+06,1.00338e+07,0.75,1.77979e+06,1.85989e+07,1.18824e+07
7,5,177979,7.16726e+06,1.00338e+07,1,1.77979e+06,1.82404e+07,1.07249e+07
7,5,177979,7.16726e+06,1.00338e+07,1.1,1.77979e+06,1.80331e+07,1.03212e+07
8,5,1.33484e+06,6.88886e+06,9.18662e+06,0.75,133484,1.29509e+07,7.98791e+06
