SP,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
35,2.0263582370337913e-08,2.174345315936418e-09,0.00013334431112380259,7.792958228208393e-11,2.5087159909666467e-09,3.77687728335482e-11,6.868522077420975e-09,2.296473027322667e-09,2.925559989864696e-09,1.1607167730919424e-08,5.7904820922803244e-09,1.583260923960777e-08,4.626394822119754e-09,0.6710633027129036,5.799306430574676e-10
36,1.4989299842157957e-09,2.124186896767611e-09,6.02467447411029e-05,8.332682188691952e-10,4.94511876951506e-09,9.591396024273428e-12,1.5518580750668292e-08,7.741143442438454e-10,2.504975499969691e-09,2.795593663655555e-09,2.700785164052633e-09,1.6080105217814396e-08,3.1348525626184746e-09,0.9541097846285829,1.0649377924227476e-09
37,2.6058378460142128e-09,3.963054574053291e-09,8.563956903921504e-06,2.5570836177778265e-10,3.086655247294021e-10,7.724383640692967e-14,2.48320605680096e-09,2.50768272347634e-10,4.779480388124883e-10,2.1461065073158375e-09,3.935561558132044e-09,2.311462780752654e-08,2.730398051572911e-09,1.1974340702719357,4.624217123859029e-10
38,2.846964712293617e-09,1.8139994372814359e-09,0.00010612865669223231,5.624705030918305e-10,4.432352957798972e-09,8.488188709409896e-12,1.6560975609064097e-08,2.0392776320175593e-09,1.0712553788984791e-09,5.695375414564351e-09,3.989095917236015e-09,1.4899463308021326e-08,3.3587845984732807e-09,2.081936928534693,1.5985227772420909e-09
39,4.1598682824531714e-10,2.1237692279253252e-09,0.00010690677155651349,5.67625047147017e-10,3.575974053570536e-09,2.88465962616628e-11,7.633776113856748e-09,2.752428957486958e-09,1.8208879207419005e-09,1.491364556489168e-08,4.923909391167186e-09,2.676366810793352e-09,1.7199603990136157e-09,1.6795996671415008,1.9298674799109333e-09
40,7.19697871225789e-09,4.279243430695703e-09,5.5108253457722585e-05,5.227861526878287e-10,4.820006716785943e-09,3.4934808562499605e-11,1.2532485352346947e-08,2.643771698022061e-09,2.3258736285771213e-09,2.0352080500838374e-08,4.529383026462567e-09,6.325088135257821e-09,3.7965101223312645e-09,5.107438855650409,8.079805714570743e-11
41,5.691304783124535e-09,1.8382487595021698e-09,5.694818423504153e-05,2.2260458692543544e-10,4.5506741608919305e-09,2.317191887431793e-11,1.5070323328265603e-08,6.176476814102022e-10,9.466138898258335e-10,2.3265750668699383e-08,3.980363617995245e-09,1.5240489950934346e-08,8.221433708412896e-10,1.2820196265764587,1.9475851508502834e-09
42,3.5084557310822003e-09,2.041149911677095e-09,6.961305469342736e-06,1.8158013844717097e-10,4.365983186728802e-09,8.379856939372924e-12,3.6320657146532516e-09,1.7886505525275767e-10,1.3338241152456624e-09,7.364742424112709e-09,1.5009174142787039e-09,1.075449905776524e-09,2.686458968403129e-09,5.006714183944336,3.365688915897717e-10
43,5.659333662143312e-09,4.783078535072899e-09,2.3036736426361882e-05,1.1343138564946288e-11,3.896668388177477e-09,4.1552356687300356e-11,1.8567034446453465e-08,1.5899209303042573e-09,1.4351490081138846e-09,7.876404311282193e-09,8.268647644328033e-10,1.5601449149114826e-09,1.9776646808580185e-09,47.49056817664833,1.3942803156757087e-09
44,3.582460805745239e-09,5.938632068009413e-09,4.169218448198814e-05,6.259377733533544e-10,1.5567447265106837e-10,2.8758764728337748e-11,6.013966251498454e-09,1.1864513542081248e-09,2.3235744643338975e-10,1.775446318203135e-08,8.167317408413037e-10,8.762548935949925e-09,2.084240817111579e-10,334.150514393163,1.8630003138047113e-09
45,4.780731266553247e-09,1.4444977078994204e-09,2.8919816307235863e-05,7.23098873116517e-10,1.757394088151308e-09,4.574706524582177e-11,7.78522664764683e-09,2.8891330055214104e-09,2.1740798014153515e-09,1.4150112150317101e-08,1.1602665643946002e-09,1.9366019654165086e-08,3.2582412331187824e-09,345.39658695578623,6.618630101784133e-10
46,4.3790049139727736e-09,3.912452585151576e-09,6.355301110156503e-05,2.287692998541722e-11,3.1418882737595993e-09,2.7618420696056714e-11,2.903901303320456e-09,1.7459971275165323e-09,2.783510911615136e-09,8.573890796476892e-09,4.260598670694675e-09,6.900740590563467e-09,2.5762931057945873e-09,2851.514393142163,1.7443914930953146e-09
47,4.4626364678682915e-09,5.647691548674793e-09,3.536633801700523e-05,2.0322636498919472e-10,2.2587280679091856e-09,4.6864508785912286e-11,5.773913154572963e-09,2.850024432648584e-09,1.0657344887555392e-09,5.8753030073537336e-09,2.8676384432503098e-09,1.4069685643790398e-08,1.4643240417418132e-09,0.982233686523856,2.8454550850225495e-11
48,2.405601265325299e-09,1.8389518511040143e-10,1.3934824960230721e-05,2.2997229776249515e-10,3.839161211686703e-09,1.1882983482092892e-11,1.1533614653802053e-08,1.612107299698831e-09,1.7670162632239293e-09,6.5350990555920565e-09,2.1322351830737317e-10,1.8517424518687834e-09,4.802669263248824e-09,60.97649684822365,9.706155247436827e-10
49,5.213541926640027e-09,5.6346807428028045e-09,2.4820123544907428e-05,2.0859432290154756e-10,1.0821404610388827e-09,1.0966054783657857e-12,8.31166895352041e-09,2.1640549780227307e-09,2999.9999999999814,3.0914535945505494e-08,1.592559340391752e-09,1.2532052226931667e-08,5.6495123591313065e-09,17.74471904696511,1.104164670000342e-10
50,3.139181871035592e-09,4.1661166840797e-09,1.4281493657800938e-05,3.4446265886845055e-10,1.1882024473163676e-09,7.694613759425572e-13,2.0394315629184618e-08,2.835341543089552e-09,2999.9999999999745,3.141630463094138e-08,5.1248343349671675e-09,1.5989013643821054e-08,2999.9999999993147,0.01740149381862971,7.387191762979079e-10
51,9.13792989612771e-09,1.546156280193618e-09,1.088854112328108e-05,2999.9999999991114,2.458525777997942e-09,2999.9999999993315,1.986958353648473e-08,5.031527546938822e-11,2999.9999999993884,6.319684458368794e-09,6.386966270705799e-09,5.236828301461243e-10,2999.9999999998654,96.44284590175243,1.450688323690045e-10
