SP,SIReN_r81_c42,SIReN_r66_c34,SIReN_r35_c60,SIReN_r77_c56,SIReN_r58_c51,SIReN_r45_c36,SIReN_r70_c35,SIReN_r37_c40,SIReN_r39_c54,SIReN_r74_c58,SIReN_r54_c37,SIReN_r49_c31,SIReN_r71_c61,SIReN_r67_c31,SIReN_r59_c44,SIReN_r72_c42,SIReN_r68_c53,SIReN_r73_c62,SIReN_r58_c37,SIReN_r35_c36
30,3.2580936442831975e-81,5.556228103111201e-172,178.69954730426375,1244.599341837597,179971.3485743503,1422.8691249984347,5.035003569626315,41.24521725405538,0.46555861841085594,210.61799601677308,5041.466828097137,3.743677284118445e-08,297.1035718403007,2.1e-322,202949.1563451178,97836.0827252432,33458.431091594786,433.1147349650202,0.2971750413259564,119.54612176147916
31,1.982515581210087e-75,7.622517844357925e-149,166.3576951920376,1281.7639924986877,308259.2138885579,1510.8235103561806,2.0001653385176126,69.62012961392759,1.336919573531723,189.96764209652062,9090.725868084965,1.7642569036306391e-12,273.63833351332386,2e-323,480281.19509341667,517041.01868432685,55194.62819235448,428.14195843759956,2.1675232903471793,99.749101038859
32,6.836456754569128e-70,2.2671339675875674e-127,154.99034099511871,1245.194580883637,237863.0890862767,1684.4704574706434,0.4321321459969318,138.25683700935576,0.3326314130502767,169.89772330241848,16160.656830343412,1.1228478310678754e-16,247.63353819847126,4.64e-322,179691.8629727914,171891.64087076523,82108.45213020414,429.7501595105464,12.802268320733477,61.08136321379141
33,1.2949143289027252e-60,5.17894614217666e-108,144.47594673520985,1173.4996066760607,92301.1180471111,1879.6182415330147,6.11978732024685e-05,327.48378812559747,37.49596921856163,150.16177577030948,28142.22820110081,1.4854319120463548e-20,219.2614358872181,4.4e-322,435578.7433193764,380489.86232810735,117443.92875248633,442.1243440193534,60.8352328665837,177.4966997664391
34,2.6300454587840565e-52,1.0387232096040939e-88,134.57530728778266,1211.6916142965636,487166.7048675569,2008.361974929314,5.034377201846825e-05,919.4626592973401,286.117424397444,131.02193818267438,46756.57442522007,6.2125154719895676e-24,188.18622512860773,5e-324,221025.6496207486,21554.827644306893,167545.59955008188,459.4673861188206,232.5391358897836,323.76154177779534
35,3.110353677391439e-44,7.373363985597129e-72,125.02932871021248,1445.7792367005204,528339.2567121447,1929.294376997682,2.553122381738687e-05,2828.509323801333,1321.38071782061,112.87642094475018,72626.55192898655,1.1792389004118048e-26,95.03327396663525,5e-324,556528.1558904496,247716.73984759685,238638.30687129975,482.38782750168997,723.6170155198713,444.2972881595554
36,1.0414191062338037e-36,5.44380800253769e-57,115.56616432163418,1784.9303110566493,136301.9465884331,1363.287311751132,0.0015713807205523244,8563.221443828234,4213.541267629287,95.71994870369363,104822.05309054088,1.204355064697131e-28,7.951137999093379,8e-323,1573064.5227358348,621621.017343977,326957.6748730094,507.98585273782373,1938.4934536315286,494.492888233915
37,7.097521204160882e-31,3.9037539343781675e-44,105.90844676032063,1980.5267396236684,1296981.5844006827,159.47537619392455,0.02367403806224864,23673.389645911946,9492.469070206937,79.39299797195213,140906.66271433822,2.2244944436663413e-30,0.9487265420122695,4.5e-322,279580.9579335223,1229546.736323138,407363.0940864414,521.7932997754413,4978.444750597638,461.2049547318294
38,1.7748666671554826e-23,2.156293679770122e-33,95.84712654869206,1753.739667247146,2023908.4725842297,3148.9347794634805,0.2658005417123561,57634.91038149032,14694.431857123267,64.06695171577825,177429.20543056825,8.803868823096609e-39,0.2908947928063347,1.5e-323,2269317.679010381,676687.7942282604,432866.31534876395,509.0981454979038,12750.787159750715,364.68474430236733
39,3.849182380338165e-17,8.265940794339122e-25,85.26529612337261,958.7138361276194,1366528.4049300973,7851.706136471838,2.0714913436871747,122108.09458377778,13265.74682686066,49.5967055625766,211265.95861142964,8.000625298070606e-36,0.07922020116336875,7.4e-322,485486.1853242032,430528.8635804222,355130.5151149827,476.56507460624096,30398.30227584396,250.08268361003903
