SP,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
40,0.013264451314208161,0.007676953798705242,0.06806854703648055,0.04345391332763181,0.010472436604699518,4.42793255538618,0.1994890559326027,0.040777275270924604,0.0890445393947184,0.28501286816113997,0.024581899844003226,0.012427268393395679,0.07508525357121124,0.04672910513960051,0.03205147119682213,0.05328208577514578,0.06657322218484484,0.027568776488339268,0.3937037782003753,0.26052924088569557,0.011896834263641808,0.03484851808946891,0.01369815934533587,1.2170498450598826,0.4566685414957391
41,0.024880717366238293,0.010919716642164427,0.07402205899693107,0.010567637759541029,0.028756728856987494,2.596917022357199,1.0772520555336782,0.12488792851819679,0.15628976460424274,0.26991006835577624,0.12546623838629037,0.005460527685732683,0.13013066137943008,0.050155809705650645,0.010981654262982794,0.06149151975132078,0.012321284002425145,0.041715693762374696,0.40109059500012695,0.22638786773751127,0.0048420790784221976,0.021420412878558476,0.00460062689422106,0.9505148056292357,0.2423301745722182
42,0.021846844988719277,0.004786952812390137,0.035779821925121316,0.018811034878338614,0.032339189654962845,2.1717003607403855,0.24745806195042475,0.09467867695712978,0.11841386874328813,0.2106003381217619,0.05040601090591449,0.02425310473808468,0.16925112195082667,0.021418146667264087,0.06580699709024852,0.0523376302578887,0.005157627344543641,0.018647331235664838,0.5333206098395886,0.18615083331780913,0.011148036685592654,0.03351204715955998,0.002495136980294452,0.5588242987501059,0.8445449892391769
43,0.03442131060270868,0.009443223314746575,0.011435695374861112,0.0029758303613081865,0.03226899502365236,0.07825162229684697,0.09718974708935464,0.0666148809187252,0.05315652779555429,0.3134825808065975,0.14870718407232314,0.022867687954708553,0.1683911462265494,0.04990201252962797,0.029916321005008847,0.023810670759478847,0.04039982245481256,0.009099242124648419,0.06738546355272644,0.12032131113994624,0.010796140383157985,0.009417115270347566,0.04077888373708047,0.25287611805764554,1.569675182644163
44,0.008228281196014068,0.0042728309557457525,0.0720094987589032,0.004283849378071197,0.01842004013547835,0.010158601972673136,0.07836306844167394,0.1654916723296665,0.07829841736627444,0.2851033148113953,0.13189259116552401,0.022561804231812834,0.12404785300549907,0.02092497372781147,0.06330899545427401,0.04917278519614409,0.0024318983427227304,0.03684598908708399,0.2634032084044559,0.0006473309985862389,0.0015803521200575957,0.00833518774556322,0.046722448429605504,0.9091940110084935,0.1865196105290892
45,0.026709608483646587,0.0036223309293307152,0.0323586392285231,0.0030923295261477955,0.00710460686323197,13.789732651826272,0.093155093792762,0.05168881971059965,0.044259285951192974,0.014662683872747238,0.14086838244629635,0.028159411246760656,0.11166567294335344,0.03408014934445857,0.02823748660547398,0.023127475649606134,0.03196880845662234,0.026972414782570966,0.5490504290839523,0.1932833090119601,0.0004871758386828035,0.02888148263975344,0.060321095646861375,0.7219553529818327,1.102263389390214
46,0.005617783256798572,0.008412650068922606,0.05626046422411401,0.024666411182606405,0.005357098541041949,2.846270797307936,0.30880583078973206,0.06807367363859468,0.10561835247716515,0.11391662512128986,0.028119628675104102,0.02865661043780923,0.11222067415418398,0.043834262070458097,0.05886053737468876,0.05477709716330403,0.019784953234356695,0.029468782236200804,1.04323108687164,0.33288194318737874,0.0012815509219715425,0.007831797135463359,0.042073037510061355,1.0359251871186326,0.4365825608519611
47,0.01470454388921829,0.008277777767006856,0.07360857858571972,0.028299250069638095,0.02925968519657738,0.7410244760441472,0.8716700953596406,0.021076720783374584,0.07974730467323361,0.08503066349542314,0.12896522298573176,0.020283332044763368,0.07263030722872899,0.007260183005187182,0.029214528853197048,0.015262517400225951,0.012015670629260964,0.02522939486376899,1.3907012712511448,0.252752539059741,0.002222613986123136,0.025893365638050118,0.010284549261938055,0.5639874342178377,0.9044327792180629
48,0.02702012814689029,0.006943560543640538,0.02931665152160503,0.03268545296898446,0.0004944509581879603,0.3543895161252475,0.2999767703073862,0.24508042668762672,0.11333376544759861,0.0003180298032157244,0.11674088562818431,0.0165628655695019,0.05715188100625102,0.02674068980657121,0.04765078364526979,0.009055319848208935,0.0712098106354456,0.02120356344282478,0.8618457183108978,0.08761906876387711,0.005468580500463768,0.021388899573117917,0.003938209029080351,0.6478509510284854,0.4211633083594314
49,0.026988152154025485,0.005238583772202879,0.011055538726363697,0.01883415532398318,0.013613184337628422,0.06823312102065181,0.412728151754557,0.21911906503497047,0.09597865068318459,0.09964503527310319,0.1033066085475873,0.011516059694538342,0.002003018481157726,0.02492435830751697,0.02372256578268764,0.029303341452444436,0.013269209954183268,0.007691102329837908,46.946960137764634,0.7777026130177322,0.008847657517157506,0.0202197777773576,0.020328437004080192,0.6017041726636898,1.1644132827181246
50,0.025474549550532143,0.0061228280495734515,0.07688711211356944,0.0121631759596068,0.0021386942509196436,9.95854534539479e-07,0.1541328124062245,0.12221005221815258,0.017879659868525064,0.2847155560377259,0.055191656529926705,0.006512978036254773,0.004208882245883097,0.0011198571201456774,0.004125815659426321,0.0006998233021422168,0.06870187025176579,0.01796374246092663,641.4124210964264,0.020032835245477804,0.008564937175216636,0.025796634135675133,0.011743856683574676,0.21792675579900728,0.6759725919911762
51,0.006669135653551159,0.007329173770359427,0.04878918454538209,0.006188235751677508,1.282857044910903e-05,7.557555106424986e-25,0.01789396104992032,0.007749628558959736,0.05872373708317465,0.22102648301263245,0.12201861310334465,6.394048543049546e-05,1.935477051971961e-08,1.0938705490974758e-07,7.391388002473075e-05,0.04305979156013372,0.00961965166736221,0.018921224747059363,736.6248012429638,79.33396754152065,0.006314735067003371,0.0009278960789785275,0.0448435578400803,1.080185588228295,0.4686409482327842
