obsnme,obsval
h_p1_cp107,4.410900373841287e-06
h_p1_cp108,1.2526334103313275e-06
h_p1_cp109,1.746346197251114e-05
h_p1_cp110,2.9657758204848506e-07
h_p1_cp111,7.334438737416349e-05
h_p1_cp112,7.270682544913143e-08
h_p1_cp113,0.0003120054411738238
h_p1_cp114,1.7860202206065878e-08
h_p1_cp115,0.0011063692281823023
h_p1_cp116,4.748926585307345e-09
h_p1_cp117,0.002932443467898338
h_p1_cp118,1.8294485926162452e-09
h_p1_cp119,0.004826004217193258
h_p1_cp120,1.236458047060296e-09
h_p1_cp121,0.0029324160923351883
h_p1_cp122,1.1586962500587106e-09
h_p1_cp123,0.0011062277201290271
h_p1_cp124,1.4279066817834973e-09
h_p1_cp125,0.0003114219848612265
h_p1_cp126,3.738932718988508e-09
h_p1_cp127,7.15551468601916e-05
h_p1_cp128,2.1392224880401045e-08
h_p1_cp129,1.4130430599834654e-05
h_p1_cp130,1.4836450645816512e-07
h_p1_cp131,2.478344185874448e-06
h_p1_cp132,1.0006588126998395e-06
h_p1_cp133,3.942864168493543e-07
h_p1_cp134,6.269352525123395e-06
h_p1_cp135,5.715673978556879e-08
h_p1_cp136,3.572691230147029e-05
h_p1_cp137,6.932168616913259e-09
h_p1_cp138,0.0001809019472602813
h_p1_cp139,-5.093170329928398e-11
h_p1_cp140,0.0007873076565374504
h_p1_cp141,-9.663381206337363e-10
h_p1_cp142,0.00279665046127775
h_p1_cp143,-1.079797584679909e-09
h_p1_cp144,0.007413423391881224
h_p1_cp145,-1.0891199053730816e-09
h_p1_cp146,0.01220058047601924
h_p1_cp147,-1.0613803169690073e-09
h_p1_cp148,0.0074134233909717295
h_p1_cp149,-8.626557246316224e-10
h_p1_cp150,0.0027966504580945184
h_p1_cp151,3.4856384445447475e-10
h_p1_cp152,0.0007873076524447242
h_p1_cp153,6.8669123720610514e-09
h_p1_cp154,0.00018090194134856574
h_p1_cp155,3.674972504086327e-08
h_p1_cp156,3.572691139197559e-05
h_p1_cp157,1.4660940905741882e-07
h_p1_cp158,6.269350251386641e-06
h_p1_cp159,4.373162028059596e-07
h_p1_cp160,1.000656993710436e-06
h_p1_cp161,8.834297204884933e-07
h_p1_cp162,1.4836314221611246e-07
h_p1_cp163,1.3004619177081622e-06
h_p1_cp164,2.1392224880401045e-08
h_p1_cp165,4.222192956149229e-06
h_p1_cp166,3.7384779716376215e-09
h_p1_cp167,1.597130972186278e-05
h_p1_cp168,1.4238139556255192e-09
h_p1_cp169,5.060085595687269e-05
h_p1_cp170,1.135504135163501e-09
h_p1_cp171,0.00012002092171314871
h_p1_cp172,1.1018528311979026e-09
h_p1_cp173,0.00018093014205078362
h_p1_cp174,1.097305357689038e-09
h_p1_cp175,0.00012001947766293597
h_p1_cp176,1.096395862987265e-09
h_p1_cp177,5.0592878096722416e-05
h_p1_cp178,1.0968506103381515e-09
h_p1_cp179,1.593400656929589e-05
h_p1_cp180,1.0968506103381515e-09
h_p1_cp181,4.079230166098569e-06
h_p1_cp182,1.0968506103381515e-09
h_p1_cp183,8.922395409172168e-07
h_p1_cp184,1.0968506103381515e-09
h_p1_cp185,1.717380655463785e-07
h_p1_cp186,1.0968506103381515e-09
h_p1_cp187,2.9139073376427405e-08
h_p1_cp188,1.0968506103381515e-09
h_p1_cp189,3.768491296796128e-09
h_p1_cp190,1.0968506103381515e-09
h_p1_cp191,-3.6698111216537654e-10
h_p1_cp192,1.0968506103381515e-09
h_p1_cp193,-9.92486093309708e-10
h_p1_cp194,1.0968506103381515e-09
h_p1_cp195,-1.0818439477588981e-09
h_p1_cp196,1.0968506103381515e-09
h_p1_cp197,-1.0936673788819462e-09
h_p1_cp198,1.0968506103381515e-09
h_p1_cp199,-1.0950316209346056e-09
h_p1_cp200,1.0968506103381515e-09
h_p1_cp201,-1.0957137419609353e-09
h_p1_cp202,1.0968506103381515e-09
h_p1_cp203,-1.0957137419609353e-09
h_p1_cp204,1.0968506103381515e-09
h_p1_cp205,-1.0957137419609353e-09
h_p1_cp206,1.0968506103381515e-09
h_p1_cp207,-1.0957137419609353e-09
h_p1_cp208,1.0968506103381515e-09
h_p1_cp209,-1.0957137419609353e-09
h_p1_cp210,1.0968506103381515e-09
h_p1_cp211,-1.0957137419609353e-09
h_p2_cp0,3.0598521334468387e-06
h_p2_cp1,6.984919309616089e-10
h_p2_cp2,1.3210734778112965e-05
h_p2_cp3,4.984030965715647e-10
h_p2_cp4,5.028720579502988e-05
h_p2_cp5,-2.773958840407431e-10
h_p2_cp6,0.00016364276507374598
h_p2_cp7,-4.765752237290144e-10
h_p2_cp8,0.0004349442788225133
h_p2_cp9,1.4870238373987377e-10
h_p2_cp10,0.0008782414220149803
h_p2_cp11,-5.047695594839752e-11
h_p2_cp12,0.001189456415886525
h_p2_cp13,-8.280949259642512e-10
h_p2_cp14,0.0008782441391304019
h_p2_cp15,-1.0272742656525224e-09
h_p2_cp16,0.0004349511241343862
h_p2_cp17,-4.001776687800884e-10
h_p2_cp18,0.00016365197916456964
h_p2_cp19,-5.925357982050627e-10
h_p2_cp20,5.02937323290098e-05
h_p2_cp21,-1.343323674518615e-09
h_p2_cp22,1.321316358371405e-05
h_p2_cp23,-1.4397301129065454e-09
h_p2_cp24,3.060508333874168e-06
h_p2_cp25,-4.574758349917829e-10
h_p2_cp26,6.38916390016675e-07
h_p2_cp27,3.6288838600739837e-10
h_p2_cp28,1.2299642548896372e-07
h_p2_cp29,1.7466845747549087e-09
h_p2_cp30,2.6740963221527636e-08
h_p2_cp31,4.4046828406862915e-09
h_p2_cp32,3.1180661608232185e-08
h_p2_cp33,6.597929314011708e-09
h_p2_cp34,1.6889953258214518e-07
h_p2_cp35,7.127709977794439e-09
h_p2_cp36,9.893383321468718e-07
h_p2_cp37,5.732999852625653e-09
h_p2_cp38,5.320140189724043e-06
h_p2_cp39,4.079993232153356e-09
h_p2_cp40,2.54957640208886e-05
h_p2_cp41,2.042725100181997e-09
h_p2_cp42,0.00010521777721805847
h_p2_cp43,2.560227585490793e-10
h_p2_cp44,0.00035501416778060957
h_p2_cp45,-3.7425706977955997e-10
h_p2_cp46,0.0008972693708528823
h_p2_cp47,1.0049916454590857e-10
h_p2_cp48,0.0014257708553486736
h_p2_cp49,-1.418811734765768e-10
h_p2_cp50,0.0008971019342425279
h_p2_cp51,-9.149516699835658e-10
h_p2_cp52,0.00035517585592970136
h_p2_cp53,-1.0536496120039374e-09
h_p2_cp54,0.00010776007411550381
h_p2_cp55,-2.064552973024547e-10
h_p2_cp56,3.940795841117506e-05
