name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp132,1.47356e-08,0,1.47356e-08,1.47356e-08,1.47356e-08,1.47356e-08,1051.83,467.056,13.515,2638.05,584.77,1518.88,13.515
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp133,3.06818e-09,0,3.06818e-09,3.06818e-09,3.06818e-09,3.06818e-09,1232.74,523.042,16.8853,3038.83,709.695,1755.78,16.8853
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp134,1.05012e-07,0,1.05012e-07,1.05012e-07,1.05012e-07,1.05012e-07,1432.29,583.155,20.7252,3472.49,849.137,2015.45,20.7252
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp135,-1.39426e-09,0,-1.39426e-09,-1.39426e-09,-1.39426e-09,-1.39426e-09,1650.44,647.346,25.0411,3937.7,1003.09,2297.78,25.0411
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp136,7.67771e-07,0,7.67771e-07,7.67771e-07,7.67771e-07,7.67771e-07,1886.99,715.545,29.8325,4433.03,1171.44,2602.53,29.8325
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp137,-1.9138e-09,0,-1.9138e-09,-1.9138e-09,-1.9138e-09,-1.9138e-09,2141.71,787.674,35.0931,4956.98,1354.04,2929.38,35.0931
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp138,5.1265e-06,0,5.1265e-06,5.1265e-06,5.1265e-06,5.1265e-06,2414.47,863.653,40.812,5508.14,1550.81,3278.12,40.812
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp139,-1.97088e-09,0,-1.97088e-09,-1.97088e-09,-1.97088e-09,-1.97088e-09,2705.27,943.404,46.9744,6085.62,1761.86,3648.67,46.9744
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp14,3.86461e-06,0,3.86461e-06,3.86461e-06,3.86461e-06,3.86461e-06,22.9813,22.218,0.00173281,116.4,0.76332,45.1992,0.00172895
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp140,2.98865e-05,0,2.98865e-05,2.98865e-05,2.98865e-05,2.98865e-05,3014.3,1026.86,53.5636,6710.46,1987.44,4041.16,53.5636
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp141,-1.97701e-09,0,-1.97701e-09,-1.97701e-09,-1.97701e-09,-1.97701e-09,3341.85,1113.95,60.5629,7365.23,2227.9,4455.8,60.5629
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp142,0.00014407,0,0.00014407,0.00014407,0.00014407,0.00014407,3688.37,1204.61,67.9633,8049.78,2483.76,4892.98,67.9632
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp143,-1.97747e-09,0,-1.97747e-09,-1.97747e-09,-1.97747e-09,-1.97747e-09,4054.42,1298.79,75.7717,8764.26,2755.63,5353.2,75.7717
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp144,0.000521119,4.34551e-19,0.000521119,0.000521119,0.000521119,0.000521119,4440.71,1396.42,84.0129,9509.04,3044.28,5837.13,84.0124
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp145,-1.97747e-09,0,-1.97747e-09,-1.97747e-09,-1.97747e-09,-1.97747e-09,4847.98,1497.48,92.7255,10284.5,3350.5,6345.46,92.7255
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp146,0.00113007,1.7382e-18,0.00113007,0.00113007,0.00113007,0.00113007,5276.96,1601.92,101.959,11091.1,3675.04,6878.89,101.958
